epoch,train_loss,train_acc,val_loss,val_acc
0,2.0472004196650095,0.3697018165200503,1.5343600252565865,0.5439297124600638
1,1.2834051027715268,0.6033359990860276,1.154566120796691,0.6461661341853034
2,1.0019581479698294,0.6887924140294757,1.0015901532797769,0.6916932907348242
3,0.8444930806536409,0.7396321261281846,0.8713550704736679,0.7292332268370607
4,0.7180065542823802,0.7749343082371758,0.7888536944556922,0.755591054313099
5,0.6263180171355212,0.8049811493202331,0.7315298833024387,0.7763578274760383
6,0.5422427841122458,0.8308008682737348,0.6881432432336168,0.786741214057508
7,0.5034034107189839,0.8401690848851823,0.6429201751090468,0.7939297124600638
8,0.4347316041328315,0.8629041471495488,0.6111959682676358,0.8170926517571885
9,0.4031564096484908,0.8750142808180053,0.5842380704590306,0.8194888178913737
10,0.3645609731158297,0.8870101679424197,0.5726278502339373,0.8242811501597443
11,0.32845377773608286,0.9004912601393807,0.5284172525040258,0.829073482428115
12,0.29613932040736535,0.9094024905746602,0.5333301010794533,0.8314696485623003
13,0.27723637355350433,0.9123729007197532,0.5029414036213019,0.8330670926517572
14,0.24073522588082563,0.9284816634296813,0.4998124068537459,0.8338658146964856
15,0.23691859295555323,0.9285959099737233,0.49148058167661723,0.847444089456869
16,0.21297465853489264,0.9339654975436993,0.4713040795950844,0.8434504792332268
17,0.19123953302172433,0.9413915229064321,0.4708004949953609,0.8522364217252396
18,0.1843754876161131,0.9456186450359877,0.46933703976698193,0.8538338658146964
19,0.15838211380719022,0.9564720667199818,0.466561828177577,0.8490415335463258
20,0.15807526508331518,0.9533874100308466,0.4663089045320456,0.8538338658146964
21,0.156560612296181,0.954644122015309,0.4609431721531926,0.8570287539936102
22,0.13285826418476895,0.9588712441448646,0.4644930238921802,0.853035143769968
23,0.1314297891607642,0.9606991888495373,0.4486088462340565,0.8650159744408945
24,0.11405118136804716,0.968010967668228,0.4581662295534969,0.853035143769968
25,0.10901372100169231,0.9713241174454473,0.4521854261811168,0.8626198083067093
26,0.10830443038452044,0.9693819261967326,0.46352165270918094,0.8554313099041533
27,0.10049001979280386,0.9722380897977836,0.4557909657018253,0.8570287539936102
28,0.09501453852273527,0.9741802810464983,0.4658885686256634,0.8546325878594249
29,0.0942716582478332,0.97315206215012,0.4318525714996143,0.8618210862619808

Training complete in 1m 28s
Best val Acc: 0.865016
