epoch,train_loss,train_acc,val_loss,val_acc
0,2.402181108079882,0.2422026733691306,2.0036921912488848,0.41613418530351437
1,1.7126736421387876,0.5083971209870901,1.4383806203500913,0.590255591054313
2,1.2448356168332486,0.6501770821432652,1.0673014908172072,0.700479233226837
3,0.9381113123801127,0.7283217182680224,0.8416935887199621,0.7571884984025559
4,0.7166269501999121,0.7974408774134583,0.7173546794504403,0.7843450479233226
5,0.5774287376746469,0.8290871701131041,0.6110525885329079,0.8226837060702875
6,0.4532115086683284,0.8711298983205759,0.5322578244696791,0.853035143769968
7,0.39153613315934144,0.8884953730149663,0.49878170467413274,0.8514376996805112
8,0.32110379765159835,0.9051753684451045,0.4642822477764215,0.8586261980830671
9,0.27172366230845735,0.922655089683537,0.44632338011226713,0.8578274760383386
10,0.23261529911344805,0.9353364560722038,0.412077336170422,0.8730031948881789
11,0.20855743852966951,0.9408202901862219,0.4065509561342172,0.8777955271565495
12,0.16460335297569825,0.9548726151033932,0.3917375135536011,0.884185303514377
13,0.1508910238477253,0.9596709699531589,0.376790872016273,0.8937699680511182
14,0.13372901269644039,0.9646978178910088,0.36366099214401487,0.8913738019169328
15,0.11599255177268679,0.9674397349480178,0.36353593607680107,0.895367412140575
16,0.11109256714422418,0.9696104192848166,0.3521323725819207,0.8945686900958466
17,0.09216418016246969,0.9755512395750029,0.33965907643397397,0.9001597444089456
18,0.08819679347812061,0.9761224722952131,0.3436896336345246,0.8985623003194888
19,0.08109350444098466,0.981377813321147,0.35281013852110304,0.9017571884984025
20,0.07028829760821387,0.9826345253056095,0.3575022885212883,0.8929712460063898
21,0.06828932955266952,0.9824060322175254,0.3509894256203319,0.9017571884984025
22,0.0642593557360437,0.983891237290072,0.3509693929372123,0.9033546325878594
23,0.06274205768679014,0.9833200045698618,0.35231414461097776,0.8985623003194888
24,0.05726731373053557,0.9845767165543242,0.3464756897463204,0.9009584664536741
25,0.05672194709471263,0.9854906889066606,0.361319364164584,0.8993610223642172
26,0.050588832166921366,0.9868616474351651,0.3272141945152618,0.9105431309904153
27,0.041085617554847624,0.9894893179481321,0.3228945675939798,0.9073482428115016
28,0.04409838487754532,0.9875471266994174,0.3411665943483956,0.9017571884984025
29,0.044805133538008905,0.9884610990517537,0.34092638553521887,0.9041533546325878

Training complete in 6m 56s
Best val Acc: 0.910543
