epoch,train_loss,train_acc,val_loss,val_acc
0,2.3431495834892306,0.2877870444419056,1.9395609793190758,0.4720447284345048
1,1.6428691746234403,0.5433565634639552,1.309845239590532,0.6333865814696485
2,1.1882224157852648,0.660459271107049,0.9896021612916892,0.7188498402555911
3,0.9110981350243057,0.7492288358277163,0.823951318241156,0.7547923322683706
4,0.7330938294269447,0.7936707414600709,0.6816964478919301,0.8027156549520766
5,0.6048719940642608,0.8294299097452302,0.5995755810707141,0.8194888178913737
6,0.5056228891830505,0.855592368330858,0.5345102009681848,0.8410543130990416
7,0.4303648955111338,0.8787844167713926,0.4866566996985731,0.8570287539936102
8,0.3582271943191222,0.9002627670512967,0.4598748298308339,0.8698083067092651
9,0.3133325879333851,0.9123729007197532,0.4331171653522089,0.8674121405750799
10,0.2705142784888821,0.9279104307094711,0.40713611911660946,0.8785942492012779
11,0.2397356647025595,0.9330515251913629,0.3823745083599426,0.8881789137380192
12,0.21727469456573084,0.9425339883468525,0.38464000730659254,0.8801916932907348
13,0.19547455060976404,0.9497315206215012,0.371722850651025,0.8857827476038338
14,0.17014010379100056,0.9563578201759397,0.3444785150095297,0.9001597444089456
15,0.14545133747700947,0.9638980920827145,0.3469490506016789,0.8929712460063898
16,0.13130577738511418,0.9684679538443962,0.3292596892426951,0.9065495207667731
17,0.13326084361333215,0.9665257625956815,0.33421067041330066,0.9017571884984025
18,0.10264041004018294,0.9755512395750029,0.3229642961733638,0.8993610223642172
19,0.10342388256991045,0.9770364446475495,0.32654059390290474,0.9009584664536741
20,0.08805831985016775,0.9827487718496516,0.3234258244593684,0.9017571884984025
21,0.08684898648437848,0.9806923340568948,0.3223260664901794,0.902555910543131
22,0.07497989255107158,0.984119730378156,0.3061102734396633,0.9073482428115016
23,0.07819472529708243,0.9833200045698618,0.3006299348494496,0.9073482428115016
24,0.0731363206221678,0.983891237290072,0.2979204283354762,0.9089456869009584
25,0.06354968371179381,0.986404661258997,0.3170397281170653,0.902555910543131
26,0.0640937193119906,0.9853764423626186,0.2952071410684159,0.9065495207667731
27,0.05964203485826431,0.9874328801553753,0.2922388956950495,0.9113418530351437
28,0.05896842229622344,0.9881183594196276,0.3047153770733184,0.9057507987220447
29,0.04917479743084049,0.9883468525077117,0.2847754120731506,0.9137380191693291

Training complete in 6m 15s
Best val Acc: 0.913738
