epoch,train_loss,train_acc,val_loss,val_acc
0,2.8080385236137153,0.34736749040380294,4.441079831123352,0.09955125000000001
1,2.3651751029192623,0.42622420585338333,2.2288701689243315,0.26792723979591837
2,2.208497195800413,0.450013116108002,1.9836102148890495,0.2985672448979592
3,2.1001922413511664,0.468097852313737,1.8013617043197154,0.3067323724489796
4,2.0070086445114472,0.48415704421055167,1.824164606332779,0.3074418469387755
5,1.9284910167864633,0.4986825437078394,1.8390729168057443,0.31175978571428575
6,1.8808680599296848,0.5091917849282758,1.502703193128109,0.341481306122449
7,1.7966156489073986,0.5253824718516727,1.8138153585791588,0.3053715204081633
8,1.780365331651029,0.5270268760992265,1.5994356763362885,0.32552850510204084
9,1.7207759524881283,0.5402036325074383,1.8824130547046662,0.3025248469387755
10,1.7052226672893243,0.5407526920317176,1.8263601239025593,0.31651930102040815
11,1.6439128460127719,0.5527459204174631,1.9548906928300858,0.2884926785714286
12,1.6224895458162567,0.5601893866325289,1.7949105241894723,0.31785544897959184
13,1.5868415940445637,0.5692129609649921,1.695850732922554,0.3257956224489796
14,1.583154132113758,0.5722814389395436,1.4637442654371262,0.33761601530612245
15,1.5407374157715592,0.5753508873570959,1.5479970322549343,0.3295816377551021
16,1.5464076566821041,0.5753669910024178,1.3423230142891407,0.3517161173469388
17,1.498079115515829,0.584811169602565,1.4558216765522958,0.3347669642857143
18,1.473161532176018,0.5943374790772489,1.416867477297783,0.3401846836734694
19,1.459170821138504,0.59578667157962,1.3562997476011516,0.35157610204081635
20,1.4328860089634403,0.602420649901339,1.4076923564076425,0.34842191836734693
21,1.3828641355617457,0.6110337168546905,1.344909661412239,0.35454547448979595
22,1.402270504610395,0.6058429499667902,1.3538635116815567,0.3541931224489796
23,1.4076633853743774,0.6084192106887012,1.3392519407719374,0.35592279081632655
24,1.385313226540705,0.6150370239988499,1.2333566829562188,0.3729351530612245
25,1.3684517212499183,0.6177161402618487,1.4945671644806862,0.34635616836734695
26,1.357353942512663,0.6161211444071246,1.3251749401539563,0.3571631785714286
27,1.3326722753714677,0.6265718936028214,1.5229333060979844,0.34368460714285715
28,1.285101007833224,0.6302371112496675,1.5001699203252792,0.3429703877551021
29,1.310301104635056,0.6259028973135214,1.4680373087525367,0.3527077806122449

Training complete in 509m 56s
Best val Acc: 0.372935
