epoch,train_loss,train_acc,val_loss,val_acc
0,2.7174774929276744,0.09985147949274535,3.485185984986278,0.13178913738019168
1,2.5746547954362775,0.17445447275219925,2.479403316022489,0.25
2,2.4481162400595955,0.23511938763852394,2.37080179540494,0.2995207667731629
3,2.3434128547196904,0.2785330743745002,2.263209104537964,0.329073482428115
4,2.2322985934187014,0.3248029247115275,2.1709621737178524,0.35862619808306706
5,2.138172408423941,0.3569062035873415,2.059258298752026,0.38418530351437696
6,2.063167007367406,0.3707300354164287,1.988919679349223,0.4001597444089457
7,1.9775856956814026,0.39906317833885524,1.9160472588798108,0.4217252396166134
8,1.9179669699504909,0.42236947332343194,1.8482780810743094,0.45686900958466453
9,1.8325095815303378,0.44978864389352224,1.7727243603228,0.48242811501597443
10,1.7644343736525006,0.46703987204387065,1.7202566073725398,0.4976038338658147
11,1.711163534241568,0.4828058951216726,1.6578087692443555,0.5111821086261981
12,1.6539556389057635,0.49640123386267565,1.6126582161687053,0.523961661341853
13,1.6044672536370579,0.5206215011995887,1.5872513840373712,0.5223642172523961
14,1.5307326132565053,0.5342168399405918,1.5382601872038917,0.5399361022364217
15,1.4845843756524384,0.5472409459613847,1.4818325903469,0.5439297124600638
16,1.4488509031455068,0.5585513538215469,1.4513052812399574,0.5567092651757188
17,1.4075791193637306,0.5671198446247001,1.4073763240259676,0.5702875399361023
18,1.3621941633964285,0.5826573746144179,1.3776423908270206,0.5750798722044728
19,1.3178507398090866,0.5947675082828745,1.3496402993369787,0.5870607028753994
20,1.2837107981816165,0.6111047640808865,1.312433686119299,0.6014376996805112
21,1.2426863340436425,0.6129327087855593,1.2856049088243477,0.6046325878594249
22,1.2148758619564077,0.6241288701016794,1.2481304151943315,0.6150159744408945
23,1.1804218106469766,0.6333828401690849,1.222317063770355,0.6206070287539935
24,1.1471542852695473,0.6451502342054153,1.1852411176449955,0.6285942492012779
25,1.1149583721275291,0.6526905061121901,1.163146653876137,0.6429712460063898
26,1.0688119452843785,0.6681137895578659,1.1335217975579892,0.6405750798722044
27,1.0523858027064321,0.6723409116874215,1.114921738926214,0.6477635782747604
28,1.0413697549891747,0.6785102250656918,1.0954210346880051,0.6557507987220447
29,1.0126813679140227,0.6867359762367189,1.0802607684851455,0.6517571884984026

Training complete in 13m 6s
Best val Acc: 0.655751
